dfs_time;bfs_time;algorithm;num_vertices;num_edges;total_ram;cpu_model
0.001743;0.00025;IsBipartite;730;1792;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.003678;0.000631;IsBipartite;649;1427;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.036079;0.038165;NumCC;763;1894;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.001934;0.00029;IsBipartite;744;1857;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.007575;0.000509;IsBipartite;896;2684;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.03291;0.037138;NumCC;747;1830;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.000531;0.000121;IsBipartite;552;1026;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.009498;0.010389;NumCC;569;1038;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.002275;0.00027;IsBipartite;793;2128;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.027958;0.03271;NumCC;678;1526;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.000912;0.00019;IsBipartite;607;1231;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.000812;0.000361;IsBipartite;523;911;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.003627;0.00013;IsBipartite;930;2920;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.003898;0.00015;IsBipartite;963;3195;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.00307;0.000845;IsBipartite;573;1081;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.002454;0.00033;IsBipartite;807;2212;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.001914;0.00024;IsBipartite;767;2004;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.002223;0.00076;IsBipartite;546;960;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.003126;0.000371;IsBipartite;847;2428;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.000801;0.000181;IsBipartite;609;1211;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.020318;0.02128;NumCC;979;3164;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.001864;0.00017;IsBipartite;754;1903;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
